SCHOOL NAME,CODE,ENTRY,ENGLISH,KISWAHILI,K. S. L.,MATHS,SCIENCE,SSTR,MEAN,RANK,NATIONAL,DISTRICT_NAME,School code,county code,county name
*KOCHIENGE,704131,17.0,51.7,36.7,0.0,48.64,51.64,47.0,235.68,517,13026,HOMA BAY,,,
0ESAI MEMORIAL PRIMARY SC,401399,32.0,41.34,49.46,0.0,38.43,35.09,37.56,201.88,674,19357,Nairobi,,,
0UCINA SCHOOL,401452,19.0,73.31,52.57,0.0,50.84,62.78,58.68,298.18,221,2597,Nairobi,,,
0UKURU COMMUNITY CENTRE,401398,36.0,50.47,52.16,0.0,44.8,47.33,48.55,243.31,465,11177,Nairobi,,,
A B C ACADEMY,301169,29.0,65.34,62.2,0.0,58.31,57.75,57.89,301.49,71,2379,Machakos,12301169,12,MACHAKOS
A B C HASSAN,708155,18.0,50.05,55.33,0.0,46.66,51.44,51.94,255.42,203,8401,KURIA WEST,,,
A B C MITABONI ACADEMY,329176,27.0,57.29,55.88,0.0,61.18,57.7,61.96,294.01,83,2891,KATHIANI,12329176,12,MACHAKOS
A C C&S PRIVATE,801120,29.0,68.17,78.51,0.0,72.27,64.0,75.37,358.32,3,264,GARISSA,45801120,45,GARISSA
A C K  NDUMARI,333112,31.0,37.25,46.87,0.0,38.8,41.54,38.45,202.91,381,19229,EMBU EAST,,,
A C K BISHOP MUGE PREP,534255,14.0,63.42,59.78,0.0,62.85,60.92,57.42,304.39,98,2194,ELDORET EAST,,,
A C K EMMANUEL KABIMOI,521315,13.0,63.23,66.84,0.0,60.46,57.3,60.3,308.13,20,1986,KOIBATEK,33521315,33,BARINGO
A C K KAGUMORI,355205,54.0,45.2,42.16,0.0,49.22,49.5,44.18,230.26,256,14336,,14355205,14,EMBU
A C K KANJA,333102,45.0,54.0,59.93,0.0,55.26,53.68,52.17,275.04,84,4874,EMBU EAST,14333102,14,EMBU
A C K KAPKORIO,534208,20.0,49.9,50.95,0.0,54.7,57.3,49.6,262.45,257,6917,ELDORET EAST,26534208,26,UASIN GISHU
A C K KATHEMBONI,323232,19.0,58.52,55.94,0.0,57.57,57.26,59.26,288.55,130,3364,MBOONI WEST,18323232,18,MAKUENI
A C K KIBOBOI,523124,19.0,45.15,53.63,0.0,49.42,49.1,50.42,247.72,417,10146,NANDI SOUTH,29523124,29,NANDI
A C K KOLONG,513130,22.0,48.77,55.18,0.0,48.95,55.22,51.45,259.57,318,7510,NANDI CENTRAL,29513130,29,NANDI
A C K NGOMOLA,341424,15.0,35.73,43.86,0.0,33.8,41.6,32.46,187.45,415,20675,MBEERE SOUTH,14341424,14,EMBU
A C K REI,327141,18.0,42.27,54.11,0.0,51.0,49.22,65.16,261.76,227,7052,TIGANIA WEST,15327141,15,MERU
A C K RIAKANAU,341417,15.0,46.26,52.93,0.0,40.4,47.06,41.2,227.85,268,14872,MBEERE SOUTH,14341417,14,EMBU
A C K RIKANA,318237,12.0,29.16,46.16,0.0,34.41,34.08,34.5,178.31,739,21162,MERU CENTRAL,15318237,15,MERU
A C TEGAT,513108,52.0,52.8,52.36,0.0,46.98,49.82,50.71,252.67,380,9001,NANDI CENTRAL,29513108,29,NANDI
A E F REUBEN,401205,122.0,49.37,49.91,0.0,46.01,47.18,48.66,241.13,481,11704,Nairobi,20408017,20,NAIROBI
A G C SOSIOT ACADEMY,553123,20.0,66.25,63.2,0.0,64.25,63.95,67.05,324.7,41,1224,BELGUT,28553123,28,KERICHO
A I C GRACE ACADEMY,703150,27.0,69.03,69.11,0.0,68.4,65.07,65.59,337.2,20,796,KISII CENTRAL,40703150,40,KISII
A I C KAITHE,334238,29.0,30.44,36.17,0.0,32.31,30.06,27.79,156.77,773,21659,BUURI,15334238,15,MERU
A I C KAPKOIBAI,513153,17.0,53.11,58.23,0.0,58.47,57.23,55.76,282.8,171,3912,NANDI CENTRAL,29513153,29,NANDI
A I C KATHIANI,341425,19.0,48.15,48.47,0.0,44.1,48.15,48.89,237.76,233,12523,MBEERE SOUTH,14341425,14,EMBU
A I C KATHYOLI,314292,11.0,41.18,45.45,0.0,50.81,43.72,43.36,224.52,626,15536,MWALA,12314292,12,MACHAKOS
A I C KIMUUNI,314291,12.0,49.58,56.0,0.0,52.33,50.33,51.41,259.65,269,7504,MWALA,12314291,12,MACHAKOS
A I C KYANDA,314176,11.0,47.72,41.27,0.0,49.72,45.27,44.72,228.7,588,14683,MWALA,12314176,12,MACHAKOS
A I C LOKICHOGIO GIRLS,549202,12.0,37.41,37.16,0.0,34.33,34.91,36.5,180.31,163,21081,TURKANA WEST,21549202,21,TURKANA
A I C LOPUR,549107,40.0,48.0,44.77,0.0,47.27,53.55,53.15,246.74,85,10381,TURKANA WEST,21549107,21,TURKANA
A I C MOI'S BRIDGE,509151,56.0,56.76,62.64,0.0,56.76,53.35,57.14,286.65,149,3523,ELDORET WEST,26509151,26,UASIN GISHU
A I C MUKUYUNI,307211,82.0,51.57,60.8,0.0,66.65,59.35,54.9,293.27,104,2963,MAKUENI,18307211,18,MAKUENI
A I C MUTULANI,307116,31.0,48.83,43.19,0.0,51.83,51.8,54.12,249.77,559,9663,MAKUENI,18307116,18,MAKUENI
A I C NDUNE,341322,9.0,48.88,52.55,0.0,67.66,52.55,50.66,272.3,88,5262,MBEERE SOUTH,14341322,14,EMBU
A I C NGANO ACADEMY,214164,13.0,51.92,50.84,0.0,57.53,52.15,56.07,268.51,112,5868,NYANDARUA WEST,,,
A I C TARUS,509137,31.0,41.48,38.61,0.0,47.06,44.83,43.41,215.39,505,17336,ELDORET WEST,26509137,26,UASIN GISHU
A I C TENAI,509155,33.0,67.87,63.84,0.0,64.0,64.72,66.6,327.03,48,1144,ELDORET WEST,26509155,26,UASIN GISHU
A I C WANGO,341402,30.0,54.4,59.0,0.0,50.76,51.0,51.0,266.16,106,6250,MBEERE SOUTH,14341402,14,EMBU
A I P C A KIITHE,319133,17.0,59.94,55.17,0.0,57.11,52.47,67.47,292.16,118,3062,IMENTI SOUTH,15319133,15,MERU
A I P C A UHURU ACADEMY,502236,12.0,62.16,65.75,0.0,50.0,54.16,56.66,288.73,13,3346,SAMBURU,22502236,22,SAMBURU
A I P C S MUJUJUNE,334240,5.0,32.2,27.0,0.0,34.2,20.8,28.8,143.0,786,21755,BUURI,15334240,15,MERU
A RAY OF HOPE ACADEMY,106460,15.0,63.53,67.33,0.0,49.0,49.93,51.4,281.19,125,4084,MOMBASA,3106460,3,MOMBASA
A.C.K EMMANUEL,557268,10.0,57.8,52.5,0.0,49.7,55.0,45.6,260.6,154,7299,KAJIADO NORTH,31557268,31,KAJIADO
A.C.K KAANWA,308148,17.0,47.82,51.0,0.0,49.0,56.41,51.17,255.4,151,8413,MERU SOUTH,19308148,19,THARAKANITHI
A.C.K RIANDU,312103,23.0,38.69,53.43,0.0,39.6,47.17,43.86,222.75,289,15879,MBEERE NORTH,14312103,14,EMBU
A.C.K RIVERSIDE,232323,32.0,59.87,58.75,0.0,48.9,44.46,45.9,257.88,328,7862,GITHUNGURI,11232323,11,KIAMBU
A.C.K ST MARTINS VISION S,302122,17.0,57.76,53.7,0.0,57.88,52.94,51.11,273.39,111,5105,KITUI CENTRAL,,,
A.C.K ST PHILLIPS CHURCH,234211,6.0,47.16,50.66,0.0,54.66,48.16,48.5,249.14,174,9809,GATANGA,,,
A.C.K ST STEPHEN WAMBUGU,204120,16.0,49.43,54.87,0.0,58.81,55.0,49.5,267.61,112,6010,MURANG'A EAST,,,
A.C.K THOMAS ACAD,203428,21.0,64.76,55.8,0.0,55.28,59.57,65.85,301.26,66,2396,KIRINYAGA CENTRAL,,,
A.C.K. GOOD SAMARITAN,401672,24.0,55.37,52.16,0.0,43.12,46.5,52.95,250.1,422,9596,Nairobi,20404074,20,NAIROBI
A.C.K. ST JOSEPH-GATHAITI,236328,18.0,53.05,49.33,0.0,55.5,51.22,48.72,257.82,329,7881,GATUNDU NORTH,11236328,11,KIAMBU
A.C.K. ST LUKES,206047,45.0,67.57,65.24,0.0,59.71,61.22,59.64,313.38,139,1720,THIKA MUNICIPALITY,11206047,11,KIAMBU
A.C.K. ST MARY THINDIGUA,205227,11.0,61.63,61.72,0.0,58.63,56.27,54.27,292.52,212,3031,KIAMBU,,,
A.C.K. ST PETERS KAME,208118,16.0,60.68,62.18,0.0,57.56,56.37,52.12,288.91,70,3332,MURANG'A SOUTH,10208118,10,MURANG'A
A.C.K. ST PHILIP,355120,6.0,60.33,58.66,0.0,50.0,52.16,54.5,275.65,83,4787,,14355120,14,EMBU
A.C.K.ST JOHN KANGEMI,401697,18.0,62.22,54.0,0.0,49.33,55.05,51.05,271.65,330,5376,Nairobi,20406060,20,NAIROBI
A.C.K.ST PETER MUGURU,229219,14.0,58.35,61.07,0.0,56.35,58.42,60.42,294.61,64,2845,KANGEMA,10229219,10,MURANG'A
A.I.C BELEKENYA,535144,29.0,55.13,49.06,0.0,58.96,56.51,60.34,280.0,174,4221,WARENG,26535144,26,UASIN GISHU
A.I.C BETHEL PREPARATORY,704343,20.0,65.9,63.05,0.0,69.3,65.3,73.5,337.05,18,802,HOMA BAY,41704343,41,HOMA BAY
A.I.C CATHEDRAL,570248,33.0,63.39,57.72,0.0,56.27,53.0,56.0,286.38,142,3555,,27570248,27,NAKURU
A.I.C CHEBAIYWO RUMAN,535149,32.0,54.78,47.87,0.0,53.4,53.93,55.15,265.13,246,6434,WARENG,26535149,26,UASIN GISHU
A.I.C CHEPLELAIBEI PREPAR,509272,11.0,54.72,51.27,0.0,55.63,58.9,55.0,275.52,192,4805,ELDORET WEST,,,
A.I.C IAMBOIYOT,509222,19.0,48.36,49.47,0.0,51.63,57.84,54.05,261.35,262,7141,ELDORET WEST,,,
A.I.C KAIGAT,540204,38.0,47.28,53.5,0.0,50.65,53.94,50.71,256.08,352,8247,NANDI NORTH,29540204,29,NANDI
A.I.C KAPTAGAT PREP,534127,18.0,75.16,63.05,0.0,65.44,65.55,68.11,337.31,30,794,ELDORET EAST,26534127,26,UASIN GISHU
A.I.C KATISAA,302172,26.0,41.38,46.15,0.0,44.34,39.76,40.76,212.39,723,17831,KITUI CENTRAL,13302172,13,KITUI
A.I.C LOPIDING,549204,16.0,58.62,47.12,0.0,51.87,57.18,54.25,269.04,21,5788,TURKANA WEST,21549204,21,TURKANA
A.I.C MATHEINI J ACADEMY,345120,25.0,64.2,60.88,0.0,66.8,67.76,62.64,322.28,31,1312,MATUNGULU,12345120,12,MACHAKOS
A.I.C NAKULUJA ACADEMY,501115,40.0,60.37,56.0,0.0,56.85,57.7,58.22,289.14,9,3316,TURKANA CENTRAL,21501115,21,TURKANA
