School code,School Name,county code,county name
1101101,KUNGU,1,TAITA TAVETA
1101102,SUNGULULU,1,TAITA TAVETA
1101103,MAYNARD,1,TAITA TAVETA
1101104,MBAURO,1,TAITA TAVETA
1101105,FIGINYI,1,TAITA TAVETA
1101106,SHIGARO,1,TAITA TAVETA
1101107,NGURARU,1,TAITA TAVETA
1101108,MLECHI,1,TAITA TAVETA
1101109,SIRIENYI,1,TAITA TAVETA
1101110,MSANGARINYI,1,TAITA TAVETA
1101111,KIDULE,1,TAITA TAVETA
1101112,NG'ONDA,1,TAITA TAVETA
1101113,MWAROMBO,1,TAITA TAVETA
1101114,NYAMBU,1,TAITA TAVETA
1101115,MLAWA,1,TAITA TAVETA
1101116,CHOME,1,TAITA TAVETA
1101201,ST JAMES,1,TAITA TAVETA
1101202,LUSHANGONYI,1,TAITA TAVETA
1101203,ST JOHN'S,1,TAITA TAVETA
1101204,WERUGHA,1,TAITA TAVETA
1101205,MDUNDONYI,1,TAITA TAVETA
1101206,NDUMBINYI,1,TAITA TAVETA
1101207,MWANDA,1,TAITA TAVETA
1101208,VURIA,1,TAITA TAVETA
1101209,MLAMBA,1,TAITA TAVETA
1101210,MWANGEA,1,TAITA TAVETA
1101211,MWAKISHIMBA,1,TAITA TAVETA
1101212,NGULU KIWETO,1,TAITA TAVETA
1101213,MWAROKO,1,TAITA TAVETA
1101214,IYALE,1,TAITA TAVETA
1101215,SANGENYI,1,TAITA TAVETA
1101216,ST ANNES ELIMU CENTRE,1,TAITA TAVETA
1101301,MAGHIMBINYI,1,TAITA TAVETA
1101302,KITUMBI,1,TAITA TAVETA
1101303,MGHAMBONYI,1,TAITA TAVETA
1101304,CHOKE,1,TAITA TAVETA
1101305,NYACHE,1,TAITA TAVETA
1101306,WUMINGU,1,TAITA TAVETA
1101307,KISHUSHE,1,TAITA TAVETA
1101308,SHAGHA,1,TAITA TAVETA
1101309,PARANGA,1,TAITA TAVETA
1101310,NGOLIA,1,TAITA TAVETA
1101311,KIMANGACHUGU,1,TAITA TAVETA
1101312,MWANYALO,1,TAITA TAVETA
1101313,NGILINYI,1,TAITA TAVETA
1101314,NGONGODINYI,1,TAITA TAVETA
1101315,MLILO,1,TAITA TAVETA
1101428,TAITA PRIVATE,1,TAITA TAVETA
1113101,MAHOO,1,TAITA TAVETA
1113102,TIMBILA,1,TAITA TAVETA
1113103,EL-DORO,1,TAITA TAVETA
1113104,MATA,1,TAITA TAVETA
1113105,KITOBO,1,TAITA TAVETA
1113106,ZIWANI,1,TAITA TAVETA
1113107,CHALA,1,TAITA TAVETA
1113108,TAVETA,1,TAITA TAVETA
1113109,ABORI,1,TAITA TAVETA
1113110,JIPE,1,TAITA TAVETA
1113111,LESSESIA,1,TAITA TAVETA
1113112,RIATA,1,TAITA TAVETA
1113113,KIWALWA,1,TAITA TAVETA
1113114,MRABANI,1,TAITA TAVETA
1113115,CHOKAA,1,TAITA TAVETA
1113116,MALUKILORITI,1,TAITA TAVETA
1113117,LOTIMA,1,TAITA TAVETA
1113118,NJUKINI,1,TAITA TAVETA
1113119,REKEKE,1,TAITA TAVETA
1113120,MAHANDAKINI,1,TAITA TAVETA
1113121,KIDONG'U,1,TAITA TAVETA
1113122,MADARASANI,1,TAITA TAVETA
1113123,NJORO,1,TAITA TAVETA
1113124,SOWENE,1,TAITA TAVETA
1113125,LUMI,1,TAITA TAVETA
1113126,ST PATRICK KIMALA,1,TAITA TAVETA
1113127,TAVETA LEISURE ACADEMY,1,TAITA TAVETA
1113128,ALFATAH ACADEMY,1,TAITA TAVETA
1113129,TAVETA JUNIOR ACADEMY,1,TAITA TAVETA
1113130,DORRY ACADEMY,1,TAITA TAVETA
1113131,KILIMANJARO PREMIER EXCELLENT ACAD,1,TAITA TAVETA
1113132,ST JOSEPH KIVUKONI,1,TAITA TAVETA
1113133,ST JOHN'S ELDORO ACADEMY,1,TAITA TAVETA
1114101,DEMBWA,1,TAITA TAVETA
1114102,ST JOSEPH'S,1,TAITA TAVETA
1114103,MWATATE,1,TAITA TAVETA
1114104,KISHAMBA,1,TAITA TAVETA
1114105,MWACHAWAZA,1,TAITA TAVETA
1114106,WUSI,1,TAITA TAVETA
1114107,MAZOLA,1,TAITA TAVETA
1114108,KIDANYA SAGAIGU,1,TAITA TAVETA
1114109,MAMBURA,1,TAITA TAVETA
1114110,VICHWALA,1,TAITA TAVETA
1114111,KIPUSI,1,TAITA TAVETA
1114112,JOSA,1,TAITA TAVETA
1114113,MZWANENYI,1,TAITA TAVETA
1114114,MWAWACHE,1,TAITA TAVETA
1114115,MENGO,1,TAITA TAVETA
1114116,MWANDALA,1,TAITA TAVETA
1114117,MWATUNGE,1,TAITA TAVETA
1114118,TAITA ACADEMY,1,TAITA TAVETA
1114119,MAILI KUMI,1,TAITA TAVETA
1114120,MWATATE JUNIOR PREPARATORY,1,TAITA TAVETA
1114201,ZARE,1,TAITA TAVETA
1114202,BURA,1,TAITA TAVETA
1114203,MRUGHUA,1,TAITA TAVETA
1114204,WUMARI,1,TAITA TAVETA
1114205,MAKTAU,1,TAITA TAVETA
1114206,MWANDISHA,1,TAITA TAVETA
1114207,MNAMU,1,TAITA TAVETA
1114208,MWAKITUTU,1,TAITA TAVETA
1114209,MSORONGO,1,TAITA TAVETA
1114210,MNENGWA,1,TAITA TAVETA
1114211,MRURU,1,TAITA TAVETA
1114212,MWASHUMA,1,TAITA TAVETA
1114213,MWACHABO,1,TAITA TAVETA
1114214,KAMTONGA,1,TAITA TAVETA
1114215,GODOMA,1,TAITA TAVETA
1114216,NYOLO,1,TAITA TAVETA
1114217,MWAVUNYU,1,TAITA TAVETA
1114218,MBAGHA,1,TAITA TAVETA
1114219,KILULUNYI,1,TAITA TAVETA
1114220,MLUGHI,1,TAITA TAVETA
1114221,MWATATE JUNIOR ACADEMY,1,TAITA TAVETA
1114222,SECHU,1,TAITA TAVETA
1114223,KITIVO,1,TAITA TAVETA
1114224,TAITA INTERNATIONAL SCHOOL,1,TAITA TAVETA
1114301,KIGHOMBO,1,TAITA TAVETA
1114302,MWAKINYUNGU,1,TAITA TAVETA
1114303,RONGE,1,TAITA TAVETA
1114304,SHELEMBA,1,TAITA TAVETA
1114305,MWAKALERI,1,TAITA TAVETA
1114306,MWAMBOTA,1,TAITA TAVETA
1114307,BAGHAU,1,TAITA TAVETA
1114308,MARIWENYI,1,TAITA TAVETA
1114309,KIGHONONYI,1,TAITA TAVETA
1114310,KISHAU,1,TAITA TAVETA
1114311,KIRONGE,1,TAITA TAVETA
1114312,MRABENYI,1,TAITA TAVETA
1114313,RAHAI,1,TAITA TAVETA
1114314,WONGONYI,1,TAITA TAVETA
1114315,MRANGI,1,TAITA TAVETA
1114316,MOLE,1,TAITA TAVETA
1115101,WRAY,1,TAITA TAVETA
1115102,SAGALLA,1,TAITA TAVETA
1115103,VOI,1,TAITA TAVETA
1115104,KIZUMANZI,1,TAITA TAVETA
1115105,MWANYAMBO,1,TAITA TAVETA
1115106,TALIO,1,TAITA TAVETA
1115107,KAJIRE,1,TAITA TAVETA
1115108,MWAKINGALI,1,TAITA TAVETA
1115109,MLONDO,1,TAITA TAVETA
1115110,GIMBA,1,TAITA TAVETA
1115111,KALAMBE,1,TAITA TAVETA
1115112,MARIE,1,TAITA TAVETA
1115113,MWAMUNGA,1,TAITA TAVETA
1115114,SOWA,1,TAITA TAVETA
1115115,GEDION MOSI,1,TAITA TAVETA
1115116,KIRUMBI,1,TAITA TAVETA
1115117,TSAVO ACADEMY,1,TAITA TAVETA
1115118,MOONLINK ACADEMY,1,TAITA TAVETA
1115119,ST STEPHEN PCEA ACADEMY,1,TAITA TAVETA
1115120,ST AGNES,1,TAITA TAVETA
1115121,MWAMBITI,1,TAITA TAVETA
1115122,KALELA,1,TAITA TAVETA
1115123,ST KELVIN VOI HILL,1,TAITA TAVETA
1115124,VOI ST JUDE EDUCATIONAL CENTRE,1,TAITA TAVETA
1115201,NDOME,1,TAITA TAVETA
1115202,MKWACHUNYI,1,TAITA TAVETA
1115203,GHAZI,1,TAITA TAVETA
1115204,NDILE,1,TAITA TAVETA
1115205,MWAKIKI,1,TAITA TAVETA
1115206,MWAMBOLEMBOLE,1,TAITA TAVETA
1115207,KIRUTAI,1,TAITA TAVETA
1115208,KIRINDINYI,1,TAITA TAVETA
1115209,MBULIA,1,TAITA TAVETA
1115210,IKANGA,1,TAITA TAVETA
1115211,MLUNDINYI,1,TAITA TAVETA
1115212,KAMBITO,1,TAITA TAVETA
1115213,MANYANI,1,TAITA TAVETA
1115214,MWAKAJO,1,TAITA TAVETA
1115215,MWAKUNI,1,TAITA TAVETA
1115216,ORE,1,TAITA TAVETA
1115217,BONIFACE MGANGA,1,TAITA TAVETA
1115218,TAUSA,1,TAITA TAVETA
1115301,BUNGULE,1,TAITA TAVETA
1115302,RUKANGA,1,TAITA TAVETA
1115303,MBELE,1,TAITA TAVETA
1115304,MARUNGU,1,TAITA TAVETA
1115305,MAKWASINYI,1,TAITA TAVETA
1115306,BUGUTA,1,TAITA TAVETA
1115307,MIASENYI,1,TAITA TAVETA
1115308,MARASI,1,TAITA TAVETA
1115309,JORA,1,TAITA TAVETA
1115310,KISIMENYI,1,TAITA TAVETA
1115311,SASENYI,1,TAITA TAVETA
1115312,ITINYI,1,TAITA TAVETA
1115313,MKAMENYI,1,TAITA TAVETA
1115314,KALE,1,TAITA TAVETA
1115315,KITEGHE,1,TAITA TAVETA
1115401,G.K PRISON MANYANI,1,TAITA TAVETA
2105101,WAA,2,KWALE
2105102,NG'OMBENI,2,KWALE
2105103,KOMBANI,2,KWALE
2105104,KITEJE,2,KWALE
2105105,DENYENYE,2,KWALE
2105106,MBWEKA,2,KWALE
2105107,YEJE,2,KWALE
2105108,MKUMBI,2,KWALE
2105109,PUNGU,2,KWALE
2105110,MATUGA,2,KWALE
2105111,ZIBANI,2,KWALE
2105112,MBUGUNI,2,KWALE
2105113,MTEZA CENTRAL,2,KWALE
2105114,VORONI,2,KWALE
2105115,BOWA,2,KWALE
2105116,MKOKONI,2,KWALE
2105117,NINGAWA,2,KWALE
2105118,KENYA CALCIUM,2,KWALE
2105119,ABUBAKARI,2,KWALE
2105120,GAKALE,2,KWALE
2105121,VISION OF HOPE,2,KWALE
2105122,DAAR TAWHEED AL.ISLAMIYYAH DENYENYE,2,KWALE
2105123,IQRA JUNIOR ACADEMY,2,KWALE
2105201,TIWI,2,KWALE
2105202,VINUNI,2,KWALE
2105203,MWACHEMA,2,KWALE
2105204,MWADINDA,2,KWALE
2105205,MWALIGULU,2,KWALE
2105206,KIRUDI,2,KWALE
2105207,JORORI,2,KWALE
2105208,MSULWA,2,KWALE
2105209,KWALE,2,KWALE
2105210,MWAMGUNGA,2,KWALE
2105211,GOLINI,2,KWALE
2105212,VYONGWANI,2,KWALE
2105213,CHIRIMANI,2,KWALE
2105214,BILASHAKA,2,KWALE
2105215,ZIWANI,2,KWALE
2105216,LUNGUMA,2,KWALE
2105217,VUGA,2,KWALE
2105218,DIMA,2,KWALE
2105219,CHAI,2,KWALE
2105220,MWAMIVI,2,KWALE
2105221,KWALE SCHOOL FOR THE DEAF,2,KWALE
2105222,MUUNGANO,2,KWALE
2105223,CHONGOLO,2,KWALE
2105224,NIMUYUMBA,2,KWALE
2105225,CHITSANZE,2,KWALE
2105226,KWALE TUMAINI ACADEMY,2,KWALE
2105227,KWALE METHODIST ACADEMY,2,KWALE
2105228,MWANGAZA,2,KWALE
2105229,SOUTHERN STARS JUNIOR SCH.,2,KWALE
2105230,TIWI REDEEMED,2,KWALE
2105231,TIWI BAPTIST,2,KWALE
2105301,MLAFYENI,2,KWALE
2105302,MIATSANI,2,KWALE
2105303,MIRIHINI,2,KWALE
2105304,MBEGANI,2,KWALE
2105305,MAPONDA,2,KWALE
2105306,MKONGANI,2,KWALE
2105307,TSEREZANI,2,KWALE
2105308,BURANI,2,KWALE
2105309,BAHAKANDA,2,KWALE
2105310,MAGWASHENI,2,KWALE
2105311,KIZIBE,2,KWALE
2105312,MTSANGATAMU,2,KWALE
2105313,TIRIBE,2,KWALE
2105314,MKUNDI,2,KWALE
2105315,MTSAMVIANI,2,KWALE
2105316,SIMANYA,2,KWALE
2105317,MIAMBA,2,KWALE
2105318,MNYALATSONI,2,KWALE
2105319,KAJIWENI,2,KWALE
2105320,MKOMBA,2,KWALE
2105321,KIBUYUNI,2,KWALE
2105322,MANGAWANI,2,KWALE
2105323,MZINJI,2,KWALE
2105401,MAKOBE,2,KWALE
2105402,KICHAKA SIMBA,2,KWALE
2105403,MWALUVANGA,2,KWALE
2105404,LUKORE,2,KWALE
2105405,STEPHEN KANJA,2,KWALE
2105406,MWAPALA,2,KWALE
2105407,SHIMBA HILLS,2,KWALE
2105408,KIDONGO,2,KWALE
2105409,KIPAMBANI,2,KWALE
2105410,MKANDA,2,KWALE
2105411,MWAGODZO,2,KWALE
2105412,BOYANI,2,KWALE
2105542,KWALE PRIVATE,2,KWALE
2109101,KINANGO,2,KWALE
2109102,DUMBULE,2,KWALE
2109103,VIGURUNGANI,2,KWALE
2109104,MAZOLA,2,KWALE
2109105,BANG'A,2,KWALE
2109106,MWANGONI,2,KWALE
2109107,TATA,2,KWALE
2109108,KASAGENI,2,KWALE
2109109,MOYENI,2,KWALE
2109110,NG'ONZINI,2,KWALE
2109111,AMANI,2,KWALE
2109112,ST JOSEPH'S,2,KWALE
2109113,GOZANI,2,KWALE
2109114,KIDERI,2,KWALE
2109115,BISHOP KALU,2,KWALE
2109116,GWADU,2,KWALE
2109117,ST LUKES,2,KWALE
2109118,KARYAKA,2,KWALE
2109119,KINANGO METHODIST ACADEMY,2,KWALE
2109201,NDAVAYA,2,KWALE
2109202,GULANZE,2,KWALE
2109203,KIFYONZO,2,KWALE
2109204,GANDINI SOUTH,2,KWALE
2109205,MBILINI,2,KWALE
2109206,MKANGOMBE,2,KWALE
2109207,MWALUKOMBE,2,KWALE
2109208,MBWALENI,2,KWALE
2109209,NDAUNI,2,KWALE
2109210,VYOGATO,2,KWALE
2109211,NYANGO,2,KWALE
2109212,MWACHANDA,2,KWALE
2109213,MWAKIJEMBE,2,KWALE
2109214,MBITA,2,KWALE
2109216,MWALUVUNO,2,KWALE
2109217,DZIMANYA,2,KWALE
2109218,MABANDA,2,KWALE
2109219,BOMANI,2,KWALE
2109220,BISHOP SONG METHODIST ACAD,2,KWALE
2109301,GANDINI CENTRAL,2,KWALE
2109302,BOFU,2,KWALE
2109303,NZOVUNI,2,KWALE
2109304,MABESHENI,2,KWALE
